task,coder3,coder2,coder1
"steven & sue saw lau for 2,293 sq.ft. 35-ft-high single-family home, attached 485 sq.ft. garage, & septic system with no grading, at 20545 medley lane, topanga, los angeles county.  ",1,1,1
"winifred a. drane for 44½-ft-high 4,750 sq.ft. single-family home with attached garage, at 138 voyage mall, venice, los angeles, los angeles county.  ",1,1,1
"NAcity of laguna beach to re-construct concrete stairway to beach from street-end of circle way, re-construct water line and sewer line from end of circle way down to beach, including enlargement of existing 18-in. diameter storm drain to 48-in. diameter storm drain down to beach, enlargement of storm drain outlet, construct new water filtration device and minor nuisance flow diversion to sewer system, construct concrete seawall with faux rock finish treatment along frontage of street-end stairway and along frontage of adjacent private property, and landscaping along re-constructed stairway and along seawall for screening purposes, at 299 crescent bay drive, laguna beach, orange county.  ",11,7,11
"poinsettia home-building partners, to amend permit for 39 lot subdivision to allow change to building pad elevation of up to 2 ft. and to allow grading within the rainy season between january 1, 1997 to march 1, 1997 within planning area a-1 at northwest corner of avenida encinas and windrose circle, carlsbad, san diego county.   ",10,5,5
"robert & wanda monroe for bluff notch infill 50-ft-long, 6 to 17 feet deep using erodible concrete faã§ade colored and textured to match surrounding bluff, at 197 pacific avenue, solana beach, san diego county.  ",9,5,5
"mid county ranch partnership to divide 77 acres into 13 lots ranging in size from 2.5 to 15.3 acres and remainder of 29 acres, at south end of walker point road, indianola, humboldt county.  ",10,10,10
"paul & dorothianne henne for 650 sq.ft. detached 2-car garage with upper lever storage unit, at 21655 circle trail, topanga, los angeles county.  ",1,1,1
"city of long beach & ddr oliver mcmillan llc for 508,550 sq.ft. retail and entertainment complex on waterfront, bounded by shoreline drive, pine avenue, seaside way and chestnut street & bounded by shoreline drive, promenade south, pine avenue, rainbow harbor and aquarium of the pacific garage, long beach, los angeles county.  ",2,2,2
"NAa-3-01-99  city of santa cruz department of public works denied permit to widen west cliff drive multiuse path from 8-12 feet to 14 feet between bay street & swanton blvd., santa cruz, santa cruz county.  ",11,11,11
"lm pacific properties to demolish existing commercial building, garage and parking lot and construct 14,580 sq. ft. mixed use commercial development consisting of two 2-story structures and 2-story, 38 stall parking structure, at 338-400 pier avenue, hermosa beach, los angeles county.  ",2,2,2
"lane & lisa russ & mary anne wilburn to merge and resubdivide 5 parcels totaling 446.3 acres into 4 parcels, merging all of property lying on west side of copenhagen road into a single 417.2 acre parcel and reconfiguring the 29.1 acres on east side of copenhagen road into 3 parcels so that the southern residence  is on its own parcel, the barn and northern residence are together on one parcel, and one parcel is undeveloped at 2281, 2287 & 2351 copenhagen road, loleta, humboldt county.  ",10,10,10
"NA6-14-1048   application by city of san diego to dredge 4,000 cu.yds. of sand at northern tip of sail bay in mission bay park to restore area to historic depths, at briarfield cove, mission bay, san diego, san diego county.  ",7,7,7
"ken scott to demolish building and construct 2-story, mixed use development including commercial retail on ground floor and visitor-serving accommodations on second level, at 501 embacadero , morro bay, san luis obispo county.  ",2,2,2
"mathew carlson & wendy stretten for 5,819 sq.ft. 28-ft-high single-family home with 800 sq.ft. basement and detached 412 sq.ft. 1-story guesthouse to replace 5,731 sq.ft. home, at 20933 big rock drive, malibu, los angeles county.  ",1,2,1
"venice development, inc. to convert 896 sq.ft. ground floor area of hotel lobby into kitchen and cafã© for hotel guests, with 12 off-site parking spaces provided, at 401 & 411 ocean front walk, venice, los angeles, los angeles county.  ",2,2,2
"don rowan to remove and replace wooden dock floats for private 9-slip dock using existing piles, at 201 bay shore ave, long beach, los angeles county.  ",3,3,3
"california department of transportation, district 7 to: demolish pottery store and rv & boat storage facility; construct 58.6-ft-wide four-lane 436-ft-long bridge over culver boulevard partially within coastal zone; extend route 90 freeway 1,020 feet west from proposed bridge; install one 38.4-ft-wide 1,020-ft-long eastbound ramp and one 38.4-ft-wide 771-ft-long westbound ramp in 18.5 acre undeveloped median between present route 90 east and westbound lanes to connect the bridge to existing roads between culver blvd. & mindanao way ; avoid all existing wetlands on site; enhance existing wetlands and remove invasive plants; at highway 90 between coastal zone boundary and mindanao way, palms, mar vista del rey, los angeles, los angeles county.  ",11,11,11
"grand prix association of long beach & city of long beach for 2006 toyota grand prix of long beach , including temporary facilities for traffic and public accommodations, at downtown shoreline, long beach, los angeles county.  ",11,11,11
"caltrans for temporary rock revetments placed seaward of highway 1 to protect highway facility from damage, at highway 1 , piedras blancas, san luis obispo county.  ",5,6,6
"NA4-95-102  public hearing and action on request by ralph rogari that the commission direct staff to file application for permit for single-family home, at 2854 seabreeze drive, near malibu, los angeles county.   ",1,1,1
"sassan & mahshid sobhani for 2,334 sq.ft. 28 ft-high single-family home with sublevel 391 sq.ft. garage & basement, detached 572 sq.ft. guesthouse, new septic system, 465 cu.yds. of grading, swimming pool, and driveway, at 3833 paseo hidalgo, malibu, los angeles county.   ",1,1,1
"NA2-a-smc-04-5  pescardero conservation alliance granted permit with conditions for operation of year-round environmental education and field research station, installation of well, 10,000-gallon water tank, and fire hydrants, renovation of existing buildings, and improvements to internal access road at existing gazos mountain camp owned by california department of parks & recreation, at 5601 gazos creek road, pescadero, san mateo county.  ",2,2,2
"danny & diana klein to add second story to existing detached film location brokerage office, and enclose second story addition to existing detached garage , at 30760 broadbeach road, malibu, los angeles county.   ",2,2,2
"the eleutherian pan-communion of adidam to drill one 280-ft-deep cased domestic well , construct 35-ft-long 12-ft-wide access road to drill site and rectangular area for drilling rig, and install water pipe & underground electrical line between wellhead and 1512 stagecoach road, north of trinidad, humboldt county.  ",4,4,4
